24	3	1	3	3	1	1	4	1	5	7	1	2	1	4	4	2	3	4	3	0	2	2	3	1	3	1	3	3	2	3	6	7	2	1	5	4	3	2	3	2	0	4	6	2	0	0	6	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
25	33	1	2	4	8	0	5	0	5	9	0	0	0	9	0	0	9	0	0	0	0	9	0	0	0	9	0	0	0	9	0	9	0	0	5	5	0	9	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26	33	1	3	3	8	1	5	1	3	7	1	2	2	3	5	2	4	4	3	1	2	2	2	1	3	2	3	3	1	3	6	6	2	1	5	4	3	2	3	2	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27	37	1	1	4	8	1	4	1	4	7	1	2	9	0	0	0	0	9	0	0	0	9	0	0	0	9	0	0	0	9	0	6	2	1	5	4	5	5	0	0	0	3	4	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
28	12	2	5	3	3	8	0	0	1	6	2	3	0	0	9	0	9	0	2	0	0	3	3	3	0	4	5	0	0	0	9	5	3	2	6	3	2	3	3	2	0	5	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	38	1	3	2	9	0	6	3	0	9	0	0	0	4	5	2	4	4	2	2	0	4	2	1	2	3	2	4	0	9	0	7	0	2	6	3	2	5	3	0	0	3	4	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
30	38	1	3	2	9	0	4	1	5	7	1	2	2	2	6	1	3	6	0	0	0	3	2	4	0	1	2	5	2	7	2	6	2	2	9	0	4	4	2	0	0	3	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
31	5	1	3	3	1	2	3	1	4	6	1	2	1	4	5	1	6	2	2	1	0	6	1	2	1	3	2	2	3	7	2	6	1	2	6	3	2	6	2	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	32	1	3	4	7	1	5	1	3	8	1	1	2	5	3	2	3	5	1	1	1	5	3	1	1	1	3	5	1	4	5	7	0	2	5	4	2	3	4	1	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
33	30	1	3	4	7	0	7	0	2	9	0	0	0	4	5	0	5	4	2	0	1	2	6	0	2	2	1	6	0	3	6	7	2	0	9	0	4	3	3	0	0	3	2	2	0	0	6	0	0	0	0	0	0	0	4	0	2	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
34	6	1	3	3	2	2	5	0	3	9	0	0	1	3	5	7	2	0	9	0	0	0	0	0	6	2	1	0	0	0	9	7	2	0	2	7	1	2	3	4	1	7	8	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
35	39	2	5	3	9	0	6	0	3	9	0	0	0	3	6	0	4	5	0	0	0	3	6	0	0	2	3	5	0	3	6	9	0	0	9	0	6	0	3	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
36	32	1	3	2	7	0	5	0	4	5	1	3	3	2	5	1	4	4	2	1	0	3	3	2	1	2	2	4	1	7	2	5	1	4	7	2	3	5	2	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
37	32	1	3	3	7	0	6	0	3	7	0	2	0	5	4	2	4	4	2	2	0	3	3	2	3	2	0	4	0	2	7	7	2	0	2	7	0	5	4	0	0	4	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
38	33	1	3	3	8	0	6	2	1	6	0	3	2	3	4	1	2	7	1	0	2	2	1	5	1	2	2	5	1	1	8	7	0	2	7	2	0	5	4	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
39	33	1	2	2	8	0	3	2	4	5	2	3	3	4	3	0	4	5	0	0	0	5	4	0	0	3	0	6	0	7	2	9	0	0	9	0	3	6	0	0	0	3	3	2	0	0	6	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
40	35	1	2	4	8	0	5	2	2	7	0	2	2	5	3	0	0	9	0	0	0	2	7	0	0	0	0	9	0	5	4	9	0	0	9	0	5	4	0	0	0	3	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	39	1	3	2	9	6	2	1	2	5	2	3	2	3	5	4	3	2	3	0	1	4	2	2	3	3	1	4	0	6	3	5	3	1	4	5	1	3	4	2	1	6	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
42	25	1	2	5	6	0	5	0	4	2	2	5	3	6	0	1	4	5	4	0	0	2	2	2	1	2	4	2	2	9	0	5	0	4	9	0	6	2	1	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	38	1	4	2	9	1	4	1	4	6	0	3	0	1	8	0	3	6	3	0	1	0	0	6	1	2	1	4	3	0	9	6	1	2	6	3	0	4	5	0	0	5	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
44	5	1	3	3	1	2	3	1	4	6	1	2	1	4	5	1	6	2	2	1	0	6	1	2	1	3	2	2	3	7	2	6	1	2	6	3	2	6	2	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
45	3	1	3	3	1	1	4	1	5	7	1	2	1	4	4	2	3	4	3	0	2	2	3	1	3	1	3	3	2	3	6	7	2	1	5	4	3	2	3	2	0	4	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
46	36	1	2	4	8	0	3	4	2	6	0	3	3	3	4	0	5	4	2	0	0	2	1	6	0	1	4	2	3	2	7	6	0	3	7	2	1	3	5	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	33	1	3	3	8	0	6	2	1	6	0	3	2	3	4	1	2	7	1	0	2	2	1	5	1	2	2	5	1	1	8	7	0	2	7	2	0	5	4	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	39	1	3	2	9	0	5	0	4	5	1	3	2	1	7	1	4	5	1	1	0	2	3	3	1	3	1	4	1	7	2	5	1	4	7	2	3	5	2	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
49	36	1	2	4	8	1	5	1	3	6	0	3	4	3	3	1	3	5	2	1	0	3	3	2	1	1	2	5	2	5	4	6	0	3	6	3	3	3	2	1	0	3	3	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50	6	1	5	2	2	1	5	1	3	6	1	3	0	1	8	0	1	8	8	0	1	1	0	1	0	1	8	1	0	1	8	6	1	2	6	3	0	0	9	0	0	5	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	36	1	1	4	8	1	5	2	2	4	0	5	6	3	1	3	2	5	4	0	1	2	2	2	3	1	1	3	2	5	4	4	2	4	4	5	3	3	3	0	0	3	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	20	1	2	3	5	2	2	0	5	4	2	4	3	3	4	3	5	2	3	1	0	4	1	2	3	2	3	2	1	7	2	4	2	4	5	4	0	2	4	3	2	7	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	15	3	1	4	4	1	5	2	2	4	0	5	6	3	1	3	2	5	4	0	1	2	2	2	3	1	1	3	2	5	4	4	2	4	4	5	3	3	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
54	38	1	2	3	9	1	3	1	5	4	2	4	4	2	3	1	3	6	1	0	1	3	3	3	1	1	3	3	3	7	2	6	0	3	8	1	5	4	1	0	0	2	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	8	1	3	3	2	2	6	0	2	9	0	0	0	3	6	5	3	2	4	0	0	5	0	0	3	2	3	2	0	0	9	7	2	0	2	7	0	5	0	4	0	7	7	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
56	3	1	2	4	1	0	5	0	4	7	0	2	2	5	2	3	4	2	5	0	0	4	0	0	5	0	3	2	0	6	3	6	3	0	2	7	3	4	3	0	0	4	6	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
57	3	1	3	3	1	0	6	0	3	8	0	1	0	3	6	2	5	3	3	0	2	3	2	1	3	1	3	3	1	3	6	7	2	0	6	3	2	4	3	0	0	4	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	38	1	4	2	9	0	4	0	5	8	0	1	1	1	8	1	4	5	1	0	0	2	0	7	1	2	2	5	1	8	1	5	4	1	8	1	5	4	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
59	33	1	2	3	8	1	4	2	3	7	2	1	1	6	3	1	1	8	1	1	2	1	4	3	1	1	3	6	1	1	8	4	4	2	7	2	4	3	3	0	1	3	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	11	1	3	3	3	0	5	1	4	5	2	3	2	3	4	1	3	5	2	1	0	2	4	3	2	1	2	6	1	5	4	6	2	2	7	2	2	4	4	1	0	4	6	0	2	4	6	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
61	33	1	3	3	8	0	6	1	2	6	0	3	2	3	5	1	2	6	1	0	1	4	2	4	1	2	2	5	2	2	7	7	0	2	7	2	0	4	5	0	0	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	16	1	1	2	4	2	4	1	4	1	1	7	7	2	1	3	5	1	5	2	1	2	1	1	2	1	4	3	0	7	2	1	0	8	4	5	7	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	37	1	2	3	8	0	4	1	4	6	1	3	1	5	3	1	5	3	1	0	1	2	1	5	1	1	5	3	1	3	6	4	0	5	7	2	3	3	1	3	1	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
64	31	1	2	3	7	0	4	2	4	7	1	2	2	5	3	0	2	7	2	0	1	2	4	2	1	1	1	7	1	6	3	6	1	2	7	2	6	3	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	34	1	3	2	8	0	7	0	2	7	2	0	0	4	5	0	2	7	0	2	0	2	4	2	0	0	4	5	0	2	7	5	4	0	9	0	0	5	4	0	0	4	6	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
66	40	1	3	3	10	0	5	1	4	8	1	0	0	4	5	1	3	6	2	0	5	1	2	0	2	1	6	2	0	2	7	7	2	0	3	6	5	2	2	1	0	3	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	2	1	4	2	1	1	4	1	4	7	1	2	2	4	4	5	4	0	0	5	4	0	0	0	9	0	0	0	0	4	5	6	2	1	5	4	0	0	9	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
68	34	1	2	3	8	1	4	1	4	7	1	2	4	4	2	0	3	6	0	0	0	9	0	0	0	3	1	5	1	7	2	6	2	1	5	4	5	3	1	0	0	3	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	37	1	3	3	8	1	4	1	5	7	1	2	1	4	4	2	3	4	3	0	2	2	3	1	3	1	3	3	2	3	6	7	2	1	5	4	3	2	3	2	0	4	4	2	0	0	6	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
70	38	1	3	3	9	1	4	1	5	7	1	2	1	4	4	2	3	4	3	0	2	2	3	1	3	1	3	3	2	3	6	7	2	1	5	4	3	2	3	2	0	4	3	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
71	11	1	3	3	3	0	6	0	3	9	0	0	0	3	6	0	9	0	2	0	2	4	2	0	3	2	3	2	0	0	9	9	0	0	4	5	2	2	6	0	0	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
72	9	1	2	4	3	1	5	2	2	6	1	2	2	5	3	1	1	7	1	1	1	3	3	2	1	2	2	5	1	3	6	6	2	2	7	2	4	3	2	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	40	1	3	4	10	0	6	0	3	7	0	2	0	5	4	2	2	6	3	0	5	0	2	0	2	1	4	3	0	2	7	6	2	2	5	4	0	3	6	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
74	31	1	2	2	7	1	3	2	5	5	2	2	3	2	5	1	2	7	1	0	0	3	4	3	1	1	1	6	2	8	1	7	1	2	8	1	3	5	2	1	1	3	1	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
75	41	1	3	3	10	1	4	1	4	7	1	2	2	4	4	2	4	4	3	1	2	2	2	1	2	2	3	3	1	4	5	6	2	1	5	4	3	3	3	2	1	4	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
76	8	1	3	2	2	1	4	2	3	7	1	2	1	3	6	2	4	3	3	1	0	4	2	1	2	2	3	3	0	2	7	7	1	1	5	4	1	3	5	1	0	5	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
77	24	1	2	1	5	0	4	1	5	7	1	2	4	2	3	1	3	6	0	0	0	2	2	6	0	1	1	5	2	6	3	6	2	2	9	0	4	3	3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	3	1	1	2	1	0	5	0	4	0	3	6	6	3	0	3	3	3	0	0	0	6	0	3	0	4	2	2	2	7	2	5	0	4	7	2	5	4	0	0	0	2	6	2	0	0	6	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
79	39	1	2	3	9	0	7	2	0	5	2	2	4	1	4	0	4	5	3	0	0	6	0	1	1	0	1	6	3	6	3	4	4	2	3	6	5	4	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	41	1	2	4	10	0	7	0	2	5	0	4	3	5	2	1	4	4	2	0	4	3	2	0	2	1	4	2	2	3	6	4	2	3	4	5	4	3	0	2	0	4	4	0	0	3	6	0	4	0	0	5	0	3	6	0	0	0	6	0	0	1	0	0	0	0	1	1	0	1	0	0	2	0	1	1	0	0	0	1	0	0	1	0	0	0
